Its amazing;Positive
"i love this game;";Positive
"This is awe some it teaches you everything you meed to know;";Positive
"A beautiful game that having math also .I like this game;";Positive
"Best math game;";Positive
"HI love it;";Positive
"It is great;";Positive
"Thanks this really helped me learn all my facts!;";Positive
"enjoyed it;";Positive
"I loved this. Very good for people who want learn math!!! Congratulations for this app;";Positive
"I hate it i have to do my times tables;";Negative
"it is very important to learn;";Positive
"à¸”à¸µà¸¡à¸²à¸à¹€à¸¥à¸¢à¸„à¹ˆà¸°à¸à¸ªà¸¡à¸­à¸‡à¹„à¸›à¸”à¹‰à¸§à¸¢;";Neutral
"Ø¨Ø§ ØªÙ…Ø±ÙŠÙ† Ø²ÙŠØ§Ø¯. Ø¯ÙŠÚ¯Ù‡ Ø¨Ø§ Ù…Ø§Ø´ÙŠÙ† Ø­Ø³Ø§Ø¨ØªÙˆÙ† Ú©Ø§Ø± Ù†Ù…Ù‰ Ú©Ù†ÙŠØ¯;";Neutral
"Help a lot;";Positive
"Very good;";Positive
"Helped my child;";Positive
"Its good for us kids;";Positive
"Simple and useful;";Positive
"I have to study;";Neutral
"Simple and easy to use;";Positive
"This app is pretty good;";Positive
"This app helps with memorization of multiplication facts by number group;";Positive
"I love this app so much if I could I will give you 100;";Positive
"I think it is good for kids;";Positive
"I think this app is the best;";Positive
"Good for child;";Positive
"very help full;";Positive
"Thanks for this app;";Positive
"Amazing!;";Positive
"Well I think this math game so fun because I could learn math better.;";Positive
"I love it;";Positive
"My kid in kindergarten and now know multiplication;";Neutral
"Great way to learn numbers. My son loves it!;";Positive
Love it so so so much!;Positive
"I love it I only own my 1 times and 2;";Positive
"Nyc;";Neutral
"Good;";Positive
"Very usefull for child;";Positive
"it nice;";Positive
"Wow;";Neutral
"I like very much;";Positive
"Barely a freaking realeaf;";Negative
"It's great it helped me get into 6th grade;";Positive
"Muito bom;";Neutral
"e facil de aprender tabuada;";Neutral
"eu achei super legal.;";Neutral
"I will be happy if you can make more!!!;";Positive
"It is good;";Positive
"I love it;";Positive
"I love math;";Positive
"I LOVE IT and there has nothing to do with dating SHELTON;";Positive
"thankes;";Positive
"It is it is very educational;";Positive
"I don't know what people are saying I have not seen any innappropriate adds (yet) but it helps!!!!!!!;";Positive
"Hero;";Negative
"This is for kids;";Neutral
"can we have an option in the game with no time limit?;";Neutral
"Very good need to go up to 12 time tables;";Positive
"Adquiri agilidade nas contas de cabeça. ótimo para exercitar;";Neutral
"what ever age you are this is for you ..bigger hope and brighter future...;";Positive
"It is good for learning there;";Positive
"Good way to learning;";Positive
"love this app. really makes my kiddos think! easy to use as well;";Positive
"Girl;";Negative
"I have not played it yet, but I think its gonna be a good game;";Positive
"Nothing more Grace;";Negative
"Cool stuff;";Positive
"It is cool;";Positive
"I think that this game helps me sooo much with all of my facts and it so fun it's a funner way to learn all of your facts it helps me and it will nicely help you to it also helps me so much with my flash cards;";Positive
"Super prÃ¡tico e divertido! Super recomendo.;";Positive
"Awesome pawsome;";Positive
"Great i love it you can choose your tables my 1 st grader loves it even his brother loves it and hes in middleschool its awesome uou should download it;";Positive
"This is cool;";Positive
"it is fun.;";Positive
"OKAYðŸ˜‚;";Neutral
"Amazballs;";Negative
"It is the best math game ever;";Positive
"Good;";Positive
"I'm just an 8 ur old boy who liked to learn;";Neutral
"I love it so much;";Positive
"Nice aap;";Positive
"Yay;";Neutral
"Aplicativo muito bom!;";Neutral
"I like but It kind of tells you the answers at the beginning but you could tell the answers at the end so when they get some wrong they could study;";Positive
"THINK YOU FOR MAKING THIS GAME I NEED TO PRACKTES MY THANK YOU ARE ON FIRE;";Positive
"Good for my kids;";Positive
"I LOVE THIS APP THERE IS NO ADS THIS APP IS SO CUTE I DONT KNOW WHAT IM SAYING;";Positive
"this is the best webâ™¥â™¡â™¥â™¡â™¥;";Positive
"10 being the worst amount of ads and 0 being ad free. I give this app a 7 1/2 in ads. Not sure if ads placed in apps pay the creator per ad pop up. Anyway many answers are obvious like 2x2= 4 or 34 or 64 or 1. It makes it easy to guess;";Negative
so naturally over time you'll memorize it over time through repeated practice. Over all a decent appðŸ“;Positive
"It's great the kids love it tjet Actually think it's FUN! O.O;";Positive
"No;";Negative
"HI am not good at math but this help so much;";Positive
"nice for kids;";Positive
"Perfect for teaching beginner students also homeschooling students.;";Positive
"thank you;";Positive
it just helps me I'm doing much much better and it's relaxing I love it.â;Positive
"suka sekali....anakku jd semangat belajar berhitung;";Neutral
"My son likes it!;";Positive
"But the only thing I wanted in this multiplaction table to keep your high score so you can keep track of record and try to Beat it;";Neutral
"It certainly gives your brain a workout.;";Positive
